Location,Parameter,Unit,Frequency,Date,Value
1,Flow,MGD,1 / 3 MO.,2017-02-28,0.0194
1,E.Coli,#/100mL,1 / 3 MO.,2017-02-28,495
1,pH,SU,1 / 3 MO.,2017-02-28,7.1
1,Cu,ug/L,1 / 3 MO.,2017-02-28,18
1,P,mg/L,1 / 3 MO.,2017-02-28,0.1
1,Ag,ug/L,1 / 3 MO.,2017-02-28,7
1,TSS,mg/L,1 / 3 MO.,2017-02-28,2
1,Zn,ug/L,1 / 3 MO.,2017-02-28,50
1,N,mg/L,1 / 3 MO.,2017-02-28,1.17
1,Oil,mg/L,1 / 3 MO.,2017-02-28,7.8
1,TDS,mg/L,1 / 3 MO.,2017-02-28,180
1,Pb,ug/L,1 / 3 MO.,2017-02-28,0.5
1,Cd,ug/L,1 / 3 MO.,2017-02-28,2
1,BOD,mg/L,1 / 3 MO.,2017-02-28,2
1,CaCO3,mg/L,1 / 3 MO.,2017-02-28,56
1,Streptococci,#/100mL,1 / 3 MO.,2017-02-28,560
3,Oil,mg/L,1 / 3 MO.,2017-02-28,1.4
3,Cd,ug/L,1 / 3 MO.,2017-02-28,3
3,TSS,mg/L,1 / 3 MO.,2017-02-28,1
3,pH,SU,1 / 3 MO.,2017-02-28,7.5
3,P,mg/L,1 / 3 MO.,2017-02-28,0.05
3,Zn,ug/L,1 / 3 MO.,2017-02-28,10
3,TDS,mg/L,1 / 3 MO.,2017-02-28,62
3,Ag,ug/L,1 / 3 MO.,2017-02-28,7
3,CaCO3,mg/L,1 / 3 MO.,2017-02-28,16
3,Cu,ug/L,1 / 3 MO.,2017-02-28,8
3,Pb,ug/L,1 / 3 MO.,2017-02-28,0.5
3,N,mg/L,1 / 3 MO.,2017-02-28,0.51
3,BOD,mg/L,1 / 3 MO.,2017-02-28,4
3,Streptococci,#/100mL,1 / 3 MO.,2017-02-28,60
3,E.Coli,#/100mL,1 / 3 MO.,2017-02-28,40
3,Flow,MGD,1 / 3 MO.,2017-02-28,0.0648
5,P,mg/L,1 / 3 MO.,2017-02-28,0.16
5,Streptococci,#/100mL,1 / 3 MO.,2017-02-28,25
5,CaCO3,mg/L,1 / 3 MO.,2017-02-28,32
5,E.Coli,#/100mL,1 / 3 MO.,2017-02-28,80
5,TDS,mg/L,1 / 3 MO.,2017-02-28,44
5,Flow,MGD,1 / 3 MO.,2017-02-28,0.0072
5,BOD,mg/L,1 / 3 MO.,2017-02-28,5
5,Cu,ug/L,1 / 3 MO.,2017-02-28,11
5,Pb,ug/L,1 / 3 MO.,2017-02-28,0.5
5,Oil,mg/L,1 / 3 MO.,2017-02-28,8.9
5,Ag,ug/L,1 / 3 MO.,2017-02-28,7
5,N,mg/L,1 / 3 MO.,2017-02-28,0.74
5,pH,SU,1 / 3 MO.,2017-02-28,7
5,Cd,ug/L,1 / 3 MO.,2017-02-28,6
5,Zn,ug/L,1 / 3 MO.,2017-02-28,69
5,TSS,mg/L,1 / 3 MO.,2017-02-28,10
2,Ag,ug/L,1 / 3 MO.,2017-02-28,8
2,Oil,mg/L,1 / 3 MO.,2017-02-28,3.8
2,N,mg/L,1 / 3 MO.,2017-02-28,0.36
