OUTFALL No. / LOCATION,PARAMETER,SAMPLE MEASURE UNIT,FREQUENCY / SAMPLE TYPE,,,1/1 TO 2/28/1997,,3/1 TO 5/31/1997,,6/1 TO 8/31/1997,,9/1 TO 11/30/1997,,12/1 TO 2/28/1998,,3/1 TO 5/31/1998,,6/1 TO 8/31/1998,,9/1 TO 11/30/1998,,12/1/1998 TO 2/28/1999,,3/1 TO 5/31/1999,,6/1 TO 8/31/1999,,9/1 TO 11/30/1999,,12/1/1999 TO 2/29/2000,,3/1 TO 5/31/2000,,6/1 TO 8/31/2000,,9/1 TO 11/30/2000,,12/1/2000 TO 2/29/2001,,3/1 TO 5/31/2001,,6/1 TO 8/31/2001,,9/1 TO 11/30/2001,,12/1/2001 TO 2/28/2002,,3/1 TO 5/31/2002,,6/1 TO 8/31/2002,,9/1 TO 11/30/2002,,12/1/2002 TO 2/28/2003,,3/1 TO 5/31/2003,,6/1 TO 8/31/2003,,9/1 TO 11/30/2003,,12/1/2003 TO 2/29/2004,,3/1 TO 5/31/2004,,6/1 TO 8/31/2004,,9/1 TO 11/30/2004,,12/1/2004 TO 2/28/2005,,3/1 TO 5/31/2005,,6/1 TO 8/31/2005,,9/1 TO 11/30/2005,,12/1/2005 TO 2/28/2006,,3/1 TO 5/31/2006,,6/1 TO 8/31/2006,,9/1 TO 11/30/2006,,12/1/2006 TO 2/28/2007,,3/1 TO 5/31/2007,,6/1 TO 8/31/2007,,9/1 TO 11/30/2007,,12/1/2007 TO 2/28/2008,,3/1 TO 5/31/2008,,6/1 TO 8/31/2008,,9/1 TO 11/30/2008,,12/1/2008 TO 2/28/2009,,3/1 TO 5/31/2009,,6/1 TO 8/31/2009,,9/1 TO 11/30/2009,,12/1/2009 TO 2/28/2010,,3/1 TO 5/31/2010,,6/1 TO 8/31/2010,,9/1 TO 11/30/2010,,12/1/2010 TO 2/28/2011,,3/1 TO 5/31/2011,,6/1 TO 8/31/2011,,9/1 TO 11/30/2011,,12/1/2011 TO 2/28/2012,,3/1 TO 5/31/2012,,6/1 TO 8/31/2012,,9/1 TO 11/30/2012,,12/1/2012 TO 2/28/2013,,3/1 TO 5/31/2013,,6/1 TO 8/31/2013,,9/1 TO 11/30/2013,,12/1/2013 TO 2/28/2014,,3/1 TO 5/31/2014,,6/1 TO 8/31/2014,,9/1 TO 11/30/2014,,12/1/2014 TO 2/28/2015,,3/1 TO 5/31/2015,,6/1 TO 8/31/2015,,9/1 TO 11/30/2015,,12/1/2015 TO 2/28/2016,,3/1 TO 5/31/2016,,6/1 TO 8/31/2016,,9/1 TO 11/30/2016,,12/1/2016 TO 2/28/2017,,3/1 TO 5/31/2017,,6/1 TO 8/31/2017,,9/1 TO 11/30/2017,,12/1/2017 TO 2/28/2018
1 - UNIVERSITY & I-630,"SELENIUM, TOTAL RECOVERABLE (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,5,,5,<,2,<,2,<,2,<,2,,5,,6,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,<,2,,0.984,<,0.1,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"BERYLLIUM, (BE) TOTAL RECOVERABLE (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,0.5,,0.5,<,1,<,1,,10,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,,1.09,<,0.1,<,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"NICKEL, TOTAL RECOVERABLE  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,,6.4,,8.2,<,1,,4.6,,3,,9.2,,4.9,<,1,,35.1,,11.9,<,1,<,5,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,5,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,0.005,<,0,<,5,<,0.1,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"CHROMIUM, TOTAL RECOVERABLE  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,5,,7.95,<,1,<,1,,2,<,10,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,5,<,5,<,0,<,5,<,5,<,5,<,5,<,5,<,5,<,1,<,5,<,5,<,5,<,5,<,1,<,5,<,3,<,5,<,5,<,0.1,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"MERCURY, TOTAL RECOVERABLE  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,0.2,,0.3,<,1,,13.4,,3,<,1,,1,<,1,,3.9,,1.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.2,<,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"CYANIDE, TOTAL  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,,22.9,,10,<,9,<,9,,3,,2,<,9,<,9,<,9,<,9,<,9,,13,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,9,<,0.009,<,9,,0.009,<,0.009,<,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"BOD, 5 DAY",MG/L,1 / 3 MO.,COMP/GRAB,,15,,26,,4.4,,7.4,,2.9,,7.5,,18.7,,23.9,,23,,5.4,,14.2,,14.8,,10.5,,15.7,,42.5,,12.7,,27.9,,6.2,,2.5,,9.4,,14,,2.5,,4.7,,4.3,,9.5,,8.9,,10.2,,2.8,,7.5,,12.4,,4,,4,,1.3,,6.19,,8.48,,4.5,,9.03,,6.58,,10.8,,7.51,,11,,10.56,,6.18,,3.8,,5.4,,4.5,,5.3,,6,,4.4,,2,,2.6,,3.2,,3.8,,3.9,,5.4,,6,,4.5,,9.2,,24.4,,6.3,,5,,7,,5,,5,,6,,3,,15,,11,,6,,12,,8,,8,,10,,11,,4,,15,,8,,4,,4,,4,<,0.2,,3,,4,,20,,4
1 - UNIVERSITY & I-630,PH,SU,1 / 3 MO.,GRAB,,7.49,,7.55,,6.9,,6.65,,7.4,,7.53,,5.7,,7.9,,5.96,,6.71,,5.3,,6.7,,6.92,,7.76,,6.88,,6.76,,6.91,,6.91,,6.56,,6.79,,6.87,,6.51,,7.1,,6.96,,7.33,,6.26,,6.57,,6.86,,6.79,,6.94,,6.86,,6.22,,6.51,,6.04,,6.91,,7.09,,7.16,,6.77,,6.35,,6.62,,6.8,,6.91,,6.47,,6.56,,6.8,,5.97,,6.73,,7.47,,6.52,,7.35,,7.02,,7.12,,6.98,,7.06,,7.18,,7.06,,6.24,,6.62,,6.06,,6.61,,6.7,,7.5,,7,,6.7,,8,,10.1,,7.9,,7.6,,7.4,,7.4,,7.3,,7.1,,7,,6.8,,6.8,,7.3,,6.9,,6.8,,7.6,,7.6,,7.1,,7,,6.6,,7.4,,6.9
1 - UNIVERSITY & I-630,"SOLIDS, TOTAL SUSPENDED",MG/L,1 / 3 MO.,COMP/GRAB,,24,,48,,5.6,,8.4,,1.2,,12,,56.4,,43,,28.5,,15,,51,,231,,16,,43,,46,,8.8,,70,,1,,16,,21,,19,,9.6,,6.5,,16,,37.6,,7,,10,,7,,42,,50,,8,,19,,34,,5,,14,,3,,1,,29,,1,,12,,9,,29.3,,53.5,,12,,25.3,,24,,13.3,,9,,24.2,,5.2,,11.6,,360,,10,,31,,15,,19,,30,,5,,20,,12,,20.4,<,1,,32,,25,,68,,10,,192,,122,,1,,29,,81,,14,,2,,23,,36,,41,,4,,20,,20,,1,,2,,1,,10,,21,,3
1 - UNIVERSITY & I-630,OIL & GREASE,MG/L,1 / 3 MO.,GRAB,,4.33,,5.11,<,0.1,,1.5,,3.6,,2.5,,1.8,,0.9,,0.1,,2.3,,1.4,,3.6,,1.2,,4.9,,1.5,,2.1,,1.8,,1.1,,1.3,,1.9,,1.4,,2.4,,1.3,,2.2,,2.2,,2.4,,2.4,,1.8,,1.3,,1,,1.1,,1.3,,1,,0.9,,1,,0.7,,0.1,,0.4,,0.3,,0.5,,0.5,,0.6,,0.4,,0.3,,0.5,,0.4,,0.4,,0.5,,2.5,,0.4,,0.7,,0.3,,3,,1.3,,0.6,,1.7,,0.9,,0.9,,0.6,,0.8,,0.6,,1.4,<,1.4,,1.4,,3.6,<,1.4,<,1.4,,3.9,,3.7,,5.7,<,1.4,<,1.4,,1.4,<,2.4,<,1.4,,3.4,,4.1,<,1.4,,2,,4.3,,7.8,,1.6,,2.4,,6.6,,1.4
1 - UNIVERSITY & I-630,"NITROGEN, TOTAL",MG/L,1 / 3 MO.,COMP/GRAB,,1.4,,5.59,<,1.37,,1.11,,18.86,,1.315,,2.592,,2.642,,2.993,,1.212,,5.105,,4.02,,5.424,,12.72,,7.26,,2.56,,5.89,,2.17,,4.16,,1.79,<,0.05,<,0.05,<,0.68,<,0.05,<,0.05,,0.51,,0.5,,0.52,,0.49,,0.49,,0.74,,0.05,,3.14,<,0.05,<,0.05,,0.92,,0.11,,0.835,,1.155,,0.86,,1.125,,1.459,,0.725,,2.53,,1.75,,1.43,,1.85,,0.068,,1.87,,0.96,,0.74,,2.36,,1.05,,1.34,,6.51,,0.56,,0.85,,0.405,,1.95,,2.49,,1.35,,0.46,,1.77,,1.12,,1.36,,2.24,,7,,2.52,,0.61,,0.81,,0.85,,0.52,,0.36,,0.39,,0.94,,0.42,,1.57,,0.54,,1.3,,1.55,,1.17,,0.65,,0.66,,1.67,,0.72
1 - UNIVERSITY & I-630,"NITROGEN, KJELDAHL  (NO LONGER REQUIRED 12-2013)",MG/L,1 / 3 MO.,COMP/GRAB,,1.23,,5.04,,0.2,,0.38,,1.005,,1.02,,1.02,,1.99,,1.8,,0.96,,4.25,,3.56,,5.01,,9.13,,6.12,,1.79,,5.54,,1.95,,4.11,,1.74,,3.35,,2.17,,2.3,,3.24,,2.86,,5.81,,17.2,,0.52,,1.27,,0.86,,9.5,,0.6,,1.11,,3.5,,4.81,,0.05,,0.05,,0.33,,0.75,,2.6,,0.763,,0.45,<,1,,3.4,<,1,,0.52,<,1,<,0.5,,0.2,,0.89,,0.1,<,0.228,,0.402,,0.29,,0.143,,0.093,,0.494,,0.337,<,0.05,,0.63,,0.27,,0.46,,1.64,,0.99,,1.24,,0.88,,2.35,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"PHOSPHORUS, DISSOLVED",MG/L,1 / 3 MO.,COMP/GRAB,,0.2,,0.28,,0.24,,0.241,,0.072,,0.145,,0.266,,0.353,,0.159,,0.276,,0.32,,0.67,,0.33,,0.94,,2.74,,0.91,,0.76,,1.72,,0.57,,0.7,,1.06,,0.4,,0.45,,1.16,,0.33,,0.7,,0.43,,0.198,,0.41,,0.517,,0.34,,1.235,,0.498,,0.006,,0.226,,0.378,,0.296,,0.039,,0.368,,0.275,,0.083,,0.132,,0.72,<,0.1,,0.11,,0.3,<,1,,0.916,,0.7,,1,,1.7,,5.8,,0.92,,1,,2.5,,0.8,,0.4,,0.15,,0.3,,0.2,,0.88,,0.22,,0.11,,0.26,,0.35,,0.07,,0.51,,0.28,,0.06,,0.25,,0.42,,0.12,,0.12,,0.11,,0.11,,0.18,<,0.05,,0.07,,0.11,,0.09,,0.1,,0.06,,0.27,,0.21,,0.11
1 - UNIVERSITY & I-630,HARDNESS (CACO3) TOTAL,MG/L,1 / 3 MO.,COMP/GRAB,,68,,42,,12,,0,,68.9,,13,,42,,80,,84,,26,,24,,26,,22,,40,,28,,44,,36,,26,,50,,72.5,,20,,26,,72,,20,,10,,12,,8,,28,,6,,60,,104,,100,,56,,16,,16,,22,,76,,26,,36,,14.5,,10.2,,4.62,,2.16,,1.85,,13.4,,40,,97.1,,1.53,,22,,60,,68,,28,,44,,46,,50,,30,,22,,42,,32,,23,,11,,16,,48,,44,,40,,72,,130,,60,,80,,104,,91,,24,,64,,72,,44,,9,,68,,10,,60,,44,,56,,40,,36,,54,,44
1 - UNIVERSITY & I-630,"SILVER, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,<,1,,1,<,1,<,3,,10,<,10,<,1,<,1,<,1,<,1,<,1,<,1,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,0.1,<,0.1,<,0.1,<,1,<,0.001,<,0.001,<,0.001,<,0.001,<,0.001,<,0.001,<,1,<,1,,0.5,<,1,<,0.2,<,0.1,,0.1,<,0.2,<,0.1,<,0.1,,19.8,<,0.1,<,0.1,<,0.1,<,0.1,<,0.1,<,0.1,<,0.1,<,0.5,<,0.5,<,0.5,<,0.5,<,0.5,<,0.5,<,0.5,<,0.5,<,0.5,<,0.5,,6,<,0.5,,2,<,0.5,,1,<,0.5,,44,,15.3,,4,,7,,0.5,,0.5,,4,,0.5
1 - UNIVERSITY & I-630,"ZINC, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,9.7,,140,,47,,96,,90,,81,,381,,241,,142,,97,,164,,325,,110,,140,,38,,100,,64,,11,,5,,5,<,1,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,,71.8,,11,,53.2,<,1,,0.09,,0.06,,0.42,,0.061,,0.112,,0.054,,27.6,,44,,61.5,,35,,30.4,,44.2,,23.9,,36.1,,97.9,,36.1,<,0.2,,34.3,,65.3,,44.2,,46.9,,11.8,,35.4,,18.4,<,1,,107,<,1,,13.5,<,1,,726.56,<,704,,166,,32,,14,,61,,62,,105,,42.5,<,54,,6.3,,91,,33.02,,51,,50,,41,,76,,124,,39.6
1 - UNIVERSITY & I-630,"CADMIUM, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,0.522,,0.5,<,1,,4,<,10,<,1,<,1,,2,,5,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,5,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,,1.35,<,0.1,,7.72,<,0.1,<,1,<,0.001,<,0.001,<,0.001,<,0.001,,0.014,<,0.001,<,1,<,1,,0.5,<,1,,0.2,<,0.11,,0.1,,0.5,<,0.3,,0.28,,1,,1.17,,2.07,<,0.1,,2.46,<,0.1,<,0.1,,2.51,<,0.1,<,0.1,<,0.1,<,0.5,<,0.1,<,0.1,<,0.1,<,0.1,<,0.1,<,0.1,,7,<,0.1,,1,<,0.1,<,0.1,,3.4,<,0.1,,3.21,,1,,2,,3,,1,,0.6,,0.1
1 - UNIVERSITY & I-630,"LEAD, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,17.45,,28.8,,1.9,,9.1,,15,,4,,8,,4,,9.8,,1.5,<,1,,62,,8.1,,4,,1,,1,,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,1,<,2,,6.5,<,0.1,<,1,<,0.005,,0.003,<,0.002,,0.002,<,0.001,,0.005,,2.7,,3.8,,2.9,,2.1,,2.31,,4.7,,1.2,,2.52,,17.1,,3.9,,9.2,,2.8,,26.2,<,0.1,,5.76,<,0.1,,2.65,,6.46,<,0.5,,3.7,,2.8,<,0.5,,195,,6.19,,35,<,0.5,<,9,<,0.5,<,0.5,<,0.5,,4,<,0.5,,4,<,0.5,,48,,15.04,,9,<,0.5,,8,,0.5,,4,,0.5
1 - UNIVERSITY & I-630,"COPPER, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,8.46,,14.7,,8.4,,21,,3,,20,,35,,20,,20,<,1,,19,,33,<,1,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5,<,5.74,,8.56,<,0.1,,1.5,<,0.02,,0.019,,0.007,,0.014,,0.036,,0.009,,4.2,,6.5,,17.9,,16.8,,11.4,,11.7,,6.6,,13.1,,18.3,,15,,0.51,,9.7,,10,,6.7,,8.6,,0.75,,7.5,,5.95,<,0.5,,14,,5.9,,10.4,,32,,153,,120,,0.5,,18,,4,,11,,6,,27,,11,,10,<,0.5,,6,,12.99,,5,,18,,7,,9,,22,,4.4
