STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/4/2017,0.01,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/5/2017,0,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/10/2017,0.01,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/12/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/13/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/14/2017,0,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/15/2017,0.04,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/17/2017,0.77,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/18/2017,0.05,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/19/2017,0.1,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/20/2017,0.03,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/21/2017,0,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/22/2017,0.52,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/23/2017,0.55,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/24/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/25/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/26/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/27/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/28/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/29/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/30/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,1/31/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/1/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/2/2017,0.05,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/3/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/4/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/5/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/6/2017,0.02,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/7/2017,1.21,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/8/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/9/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/10/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/11/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/12/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/13/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/14/2017,0.09,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/15/2017,1.19,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/16/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/17/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/18/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/19/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/20/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/21/2017,1.1,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/22/2017,0.68,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/23/2017,0,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/24/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/25/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/26/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/27/2017,0.18,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,2/28/2017,0.04,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,3/1/2017,0.1,,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,3/3/2017,0,0,
US1ARPS0019,"LITTLE ROCK 6.7 NNW, AR US",34.805,-92.417,223.4,3/4/2017,0,0,
