OUTFALL No. / LOCATION,PARAMETER,SAMPLE MEASURE UNIT,FREQUENCY / SAMPLE TYPE,,,1/1 TO 2/28/1997,,3/1 TO 5/31/1997,,6/1 TO 8/31/1997,,9/1 TO 11/30/1997,,12/1 TO 2/28/1998,,3/1 TO 5/31/1998,,6/1 TO 8/31/1998,,9/1 TO 11/30/1998,,12/1/1998 TO 2/28/1999,,3/1 TO 5/31/1999,,6/1 TO 8/31/1999,,9/1 TO 11/30/1999,,12/1/1999 TO 2/29/2000,,3/1 TO 5/31/2000,,6/1 TO 8/31/2000,,9/1 TO 11/30/2000,,12/1/2000 TO 2/29/2001,,3/1 TO 5/31/2001,,6/1 TO 8/31/2001,,9/1 TO 11/30/2001,,12/1/2001 TO 2/28/2002,,3/1 TO 5/31/2002,,6/1 TO 8/31/2002,,9/1 TO 11/30/2002,,12/1/2002 TO 2/28/2003,,3/1 TO 5/31/2003,,6/1 TO 8/31/2003,,9/1 TO 11/30/2003,,12/1/2003 TO 2/29/2004,,3/1 TO 5/31/2004,,6/1 TO 8/31/2004,,9/1 TO 11/30/2004,,12/1/2004 TO 2/28/2005,,3/1 TO 5/31/2005,,6/1 TO 8/31/2005,,9/1 TO 11/30/2005,,12/1/2005 TO 2/28/2006,,3/1 TO 5/31/2006,,6/1 TO 8/31/2006,,9/1 TO 11/30/2006,,12/1/2006 TO 2/28/2007,,3/1 TO 5/31/2007,,6/1 TO 8/31/2007,,9/1 TO 11/30/2007,,12/1/2007 TO 2/28/2008,,3/1 TO 5/31/2008,,6/1 TO 8/31/2008,,9/1 TO 11/30/2008,,12/1/2008 TO 2/28/2009,,3/1 TO 5/31/2009,,6/1 TO 8/31/2009,,9/1 TO 11/30/2009,,12/1/2009 TO 2/28/2010,,3/1 TO 5/31/2010,,6/1 TO 8/31/2010,,9/1 TO 11/30/2010,,12/1/2010 TO 2/28/2011,,3/1 TO 5/31/2011,,6/1 TO 8/31/2011,,9/1 TO 11/30/2011,,12/1/2011 TO 2/28/2012,,3/1 TO 5/31/2012,,6/1 TO 8/31/2012,,9/1 TO 11/30/2012,,12/1/2012 TO 2/28/2013,,3/1 TO 5/31/2013,,6/1 TO 8/31/2013,,9/1 TO 11/30/2013,,12/1/2013 TO 2/28/2014,,3/1 TO 5/31/2014,,6/1 TO 8/31/2014,,9/1 TO 11/30/2014,,12/1/2014 TO 2/28/2015,,3/1 TO 5/31/2015,,6/1 TO 8/31/2015,,9/1 TO 11/30/2015,,12/1/2015 TO 2/28/2016,,3/1 TO 5/31/2016,,6/1 TO 8/31/2016,,9/1 TO 11/30/2016,,12/1/2016 TO 2/28/2017,,3/1 TO 5/31/2017,,6/1 TO 8/31/2017,,9/1 TO 11/30/2017,,12/1/2017 TO 2/28/2018
1 - UNIVERSITY & I-630,"SELENIUM, TOTAL RECOVERABLE (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,5.000,,5.000,<,2.000,<,2.000,<,2.000,<,2.000,,5.000,,6.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,<,2.000,,0.984,<,0.100,,4.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"BERYLLIUM, (BE) TOTAL RECOVERABLE (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,0.500,,0.500,<,1.000,<,1.000,,10.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,,1.090,<,0.100,<,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"NICKEL, TOTAL RECOVERABLE  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,,6.400,,8.200,<,1.000,,4.600,,3.000,,9.200,,4.900,<,1.000,,35.100,,11.900,<,1.000,<,5.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,5.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,0.005,<,0.000,<,5.000,<,0.100,,4.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"CHROMIUM, TOTAL RECOVERABLE  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,5.000,,7.950,<,1.000,<,1.000,,2.000,<,10.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,5.000,<,5.000,<,0.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,1.000,<,5.000,<,5.000,<,5.000,<,5.000,<,1.000,<,5.000,<,3.000,<,5.000,<,5.000,<,0.100,,7.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"MERCURY, TOTAL RECOVERABLE  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,<,0.200,,0.300,<,1.000,,13.400,,3.000,<,1.000,,1.000,<,1.000,,3.900,,1.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.200,<,0.460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"CYANIDE, TOTAL  (NO LONGER REQUIRED 9/1/2005)",UG/L,1 / 3 MO.,COMP/GRAB,,22.900,,10.000,<,9.000,<,9.000,,3.000,,2.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,,13.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,9.000,<,0.009,<,9.000,,0.009,<,0.009,<,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"BOD, 5 DAY",MG/L,1 / 3 MO.,COMP/GRAB,,15.000,,26.000,,4.400,,7.400,,2.900,,7.500,,18.700,,23.900,,23.000,,5.400,,14.200,,14.800,,10.500,,15.700,,42.500,,12.700,,27.900,,6.200,,2.500,,9.400,,14.000,,2.500,,4.700,,4.300,,9.500,,8.900,,10.200,,2.800,,7.500,,12.400,,4.000,,4.000,,1.300,,6.190,,8.480,,4.500,,9.030,,6.580,,10.800,,7.510,,11.000,,10.560,,6.180,,3.800,,5.400,,4.500,,5.300,,6.000,,4.400,,2.000,,2.600,,3.200,,3.800,,3.900,,5.400,,6.000,,4.500,,9.200,,24.400,,6.300,,5.000,,7.000,,5.000,,5.000,,6.000,,3.000,,15.000,,11.000,,6.000,,12.000,,8.000,,8.000,,10.000,,11.000,,4.000,,15.000,,8.000,,4.000,,4.000,,4.000,<,0.200,,3.000,,4.000,,20.000,,4.000
1 - UNIVERSITY & I-630,PH,SU,1 / 3 MO.,GRAB,,7.490,,7.550,,6.900,,6.650,,7.400,,7.530,,5.700,,7.900,,5.960,,6.710,,5.300,,6.700,,6.920,,7.760,,6.880,,6.760,,6.910,,6.910,,6.560,,6.790,,6.870,,6.510,,7.100,,6.960,,7.330,,6.260,,6.570,,6.860,,6.790,,6.940,,6.860,,6.220,,6.510,,6.040,,6.910,,7.090,,7.160,,6.770,,6.350,,6.620,,6.800,,6.910,,6.470,,6.560,,6.800,,5.970,,6.730,,7.470,,6.520,,7.350,,7.020,,7.120,,6.980,,7.060,,7.180,,7.060,,6.240,,6.620,,6.060,,6.610,,6.700,,7.500,,7.000,,6.700,,8.000,,10.100,,7.900,,7.600,,7.400,,7.400,,7.300,,7.100,,7.000,,6.800,,6.800,,7.300,,6.900,,6.800,,7.600,,7.600,,7.100,,7.000,,6.600,,7.400,,6.900
1 - UNIVERSITY & I-630,"SOLIDS, TOTAL SUSPENDED",MG/L,1 / 3 MO.,COMP/GRAB,,24.000,,48.000,,5.600,,8.400,,1.200,,12.000,,56.400,,43.000,,28.500,,15.000,,51.000,,231.000,,16.000,,43.000,,46.000,,8.800,,70.000,,1.000,,16.000,,21.000,,19.000,,9.600,,6.500,,16.000,,37.600,,7.000,,10.000,,7.000,,42.000,,50.000,,8.000,,19.000,,34.000,,5.000,,14.000,,3.000,,1.000,,29.000,,1.000,,12.000,,9.000,,29.300,,53.500,,12.000,,25.300,,24.000,,13.300,,9.000,,24.200,,5.200,,11.600,,360.000,,10.000,,31.000,,15.000,,19.000,,30.000,,5.000,,20.000,,12.000,,20.400,<,1.000,,32.000,,25.000,,68.000,,10.000,,192.000,,122.000,,1.000,,29.000,,81.000,,14.000,,2.000,,23.000,,36.000,,41.000,,4.000,,20.000,,20.000,,1.000,,2.000,,1.000,,10.000,,21.000,,3.000
1 - UNIVERSITY & I-630,OIL & GREASE,MG/L,1 / 3 MO.,GRAB,,4.330,,5.110,<,0.100,,1.500,,3.600,,2.500,,1.800,,0.900,,0.100,,2.300,,1.400,,3.600,,1.200,,4.900,,1.500,,2.100,,1.800,,1.100,,1.300,,1.900,,1.400,,2.400,,1.300,,2.200,,2.200,,2.400,,2.400,,1.800,,1.300,,1.000,,1.100,,1.300,,1.000,,0.900,,1.000,,0.700,,0.100,,0.400,,0.300,,0.500,,0.500,,0.600,,0.400,,0.300,,0.500,,0.400,,0.400,,0.500,,2.500,,0.400,,0.700,,0.300,,3.000,,1.300,,0.600,,1.700,,0.900,,0.900,,0.600,,0.800,,0.600,,1.400,<,1.400,,1.400,,3.600,<,1.400,<,1.400,,3.900,,3.700,,5.700,<,1.400,<,1.400,,1.400,<,2.400,<,1.400,,3.400,,4.100,<,1.400,,2.000,,4.300,,7.800,,1.600,,2.400,,6.600,,1.400
