,Unnamed: 0,Location,Parameter,Unit,Frequency,Date,Value
22,22,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1997-02-28,1.0
142,142,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1997-05-31,1.0
262,262,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1997-08-31,318.0
382,382,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1997-11-30,2520.0
502,502,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1998-02-28,20.0
622,622,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1998-05-31,1230.0
742,742,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1998-08-31,1012.0
862,862,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1998-11-30,2860.0
982,982,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1999-02-28,4650.0
1102,1102,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1999-05-31,260.0
1222,1222,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1999-08-31,4800.0
1342,1342,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1999-11-30,10200.0
1462,1462,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2000-02-28,4800.0
1582,1582,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2000-05-31,4500.0
1702,1702,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2000-08-31,1620.0
1822,1822,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2000-11-30,37000.0
1942,1942,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2001-02-28,8750.0
2062,2062,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2001-05-31,2000.0
2182,2182,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2001-08-31,43000.0
2302,2302,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2001-11-30,2500.0
2422,2422,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2002-02-28,6560.0
2542,2542,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2002-05-31,10000.0
2662,2662,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2002-08-31,5000000.0
2782,2782,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2002-11-30,18150.0
2902,2902,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2003-02-28,4000.0
3022,3022,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2003-05-31,20000.0
3142,3142,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2003-08-31,150000.0
3262,3262,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2003-11-30,24000.0
3382,3382,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2004-02-28,17500.0
3502,3502,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2004-05-31,57500.0
3622,3622,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2004-08-31,200.0
3742,3742,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2004-11-30,9000.0
3862,3862,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2005-02-28,1490.0
3982,3982,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2005-05-31,30.0
4102,4102,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2005-08-31,190.0
4222,4222,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2005-11-30,50.0
4342,4342,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2006-02-28,40.0
4462,4462,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2006-05-31,50000.0
4582,4582,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2006-08-31,600.0
4702,4702,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2006-11-30,2050.0
4822,4822,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2007-02-28,1500.0
4942,4942,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2007-05-31,3000.0
5062,5062,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2007-08-31,7900.0
5182,5182,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2007-11-30,2000.0
5302,5302,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2008-02-28,1100.0
5422,5422,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2008-05-31,1000.0
5542,5542,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2008-08-31,10300.0
5662,5662,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2008-11-30,1300.0
5782,5782,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2009-02-28,4800.0
5902,5902,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2009-05-31,3200.0
6022,6022,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2009-08-31,500.0
6142,6142,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2009-11-30,5100.0
6262,6262,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2010-02-28,700.0
6382,6382,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2010-05-31,7400.0
6502,6502,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2010-08-31,5000.0
6622,6622,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2010-11-30,2600.0
6742,6742,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2011-02-28,500.0
6862,6862,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2011-05-31,1700.0
6982,6982,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2011-08-31,8000.0
7102,7102,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2011-11-30,1700.0
7222,7222,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2012-02-28,3700.0
7342,7342,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2012-05-31,70.0
7462,7462,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2012-08-31,1000.0
7582,7582,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2012-11-30,1.0
7702,7702,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2013-02-28,399.0
7822,7822,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2013-05-31,200.0
7942,7942,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2013-08-31,305.0
8062,8062,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2013-11-30,2755.0
8182,8182,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2014-02-28,200.0
8302,8302,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2014-05-31,50.0
8422,8422,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2014-08-31,2000.0
8542,8542,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2014-11-30,350.0
8662,8662,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2015-02-28,1.0
8782,8782,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2015-05-31,245.0
8902,8902,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2015-08-31,103.0
9022,9022,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2015-11-30,100.0
9142,9142,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2016-02-28,161.0
9262,9262,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2016-05-31,250.0
9382,9382,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2016-08-31,225.0
9502,9502,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2016-11-30,1350.0
9622,9622,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2017-02-28,495.0
9742,9742,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2017-05-31,1800.0
9862,9862,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2017-08-31,1250.0
9982,9982,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2017-11-30,870.0
10102,10102,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,2018-02-28,135.0
