date,location,date,avg,most recent,delta
2017-03-06,outfall 1,2017-03-06,0.385,2017-03-05,1 days 00:00:00.000000000
2017-06-19,outfall 1,2017-06-19,0.5766666666666667,2017-06-13,6 days 00:00:00.000000000
2017-10-27,outfall 1,2017-10-27,0.062,2017-10-22,5 days 00:00:00.000000000
2017-12-22,outfall 1,2017-12-22,1.0,2017-12-20,2 days 00:00:00.000000000
2017-03-06,outfall 2,2017-03-06,0.385,2017-03-05,1 days 00:00:00.000000000
2017-06-19,outfall 2,2017-06-19,0.5766666666666667,2017-06-13,6 days 00:00:00.000000000
2017-10-27,outfall 2,2017-10-27,0.062,2017-10-22,5 days 00:00:00.000000000
2017-12-22,outfall 2,2017-12-22,1.0,2017-12-20,2 days 00:00:00.000000000
2017-03-06,outfall 3,2017-03-06,0.385,2017-03-05,1 days 00:00:00.000000000
2017-06-19,outfall 3,2017-06-19,0.5766666666666667,2017-06-13,6 days 00:00:00.000000000
2017-10-27,outfall 3,2017-10-27,0.062,2017-10-22,5 days 00:00:00.000000000
2017-12-22,outfall 3,2017-12-22,1.0,2017-12-20,2 days 00:00:00.000000000
2017-03-06,outfall 5,2017-03-06,0.385,2017-03-05,1 days 00:00:00.000000000
2017-06-19,outfall 5,2017-06-19,0.5766666666666667,2017-06-13,6 days 00:00:00.000000000
2017-10-27,outfall 5,2017-10-27,0.062,2017-10-22,5 days 00:00:00.000000000
2017-12-22,outfall 5,2017-12-22,1.0,2017-12-20,2 days 00:00:00.000000000
2017-03-06,outfall 6,2017-03-06,0.385,2017-03-05,1 days 00:00:00.000000000
2017-07-05,outfall 6,2017-07-05,0.5716666666666667,2017-07-04,1 days 00:00:00.000000000
2017-12-22,outfall 6,2017-12-22,1.0,2017-12-20,2 days 00:00:00.000000000
