,Location,Parameter,Unit,Frequency,Date,Value
0,1 - UNIVERSITY & I-630,Se,UG/L,1 / 3 MO.,1997-02-28,5.0
1,1 - UNIVERSITY & I-630,Be,UG/L,1 / 3 MO.,1997-02-28,0.5
2,1 - UNIVERSITY & I-630,Ni,UG/L,1 / 3 MO.,1997-02-28,6.4
3,1 - UNIVERSITY & I-630,Cr,UG/L,1 / 3 MO.,1997-02-28,5.0
4,1 - UNIVERSITY & I-630,Hg,UG/L,1 / 3 MO.,1997-02-28,0.2
5,1 - UNIVERSITY & I-630,Cyanide,UG/L,1 / 3 MO.,1997-02-28,22.9
6,1 - UNIVERSITY & I-630,BOD,MG/L,1 / 3 MO.,1997-02-28,15.0
7,1 - UNIVERSITY & I-630,pH,SU,1 / 3 MO.,1997-02-28,7.49
8,1 - UNIVERSITY & I-630,TSS,MG/L,1 / 3 MO.,1997-02-28,24.0
9,1 - UNIVERSITY & I-630,Oil,MG/L,1 / 3 MO.,1997-02-28,4.33
10,1 - UNIVERSITY & I-630,N,MG/L,1 / 3 MO.,1997-02-28,1.4
11,1 - UNIVERSITY & I-630,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,1.23
12,1 - UNIVERSITY & I-630,P,MG/L,1 / 3 MO.,1997-02-28,0.2
13,1 - UNIVERSITY & I-630,CaCO3,MG/L,1 / 3 MO.,1997-02-28,68.0
14,1 - UNIVERSITY & I-630,Ag,UG/L,1 / 3 MO.,1997-02-28,1.0
15,1 - UNIVERSITY & I-630,Zn,UG/L,1 / 3 MO.,1997-02-28,9.7
16,1 - UNIVERSITY & I-630,Cd,UG/L,1 / 3 MO.,1997-02-28,0.522
17,1 - UNIVERSITY & I-630,Pb,UG/L,1 / 3 MO.,1997-02-28,17.45
18,1 - UNIVERSITY & I-630,Cu,UG/L,1 / 3 MO.,1997-02-28,8.46
19,1 - UNIVERSITY & I-630,Flow,MGD,1 / 3 MO.,1997-02-28,0.72
20,1 - UNIVERSITY & I-630,TDS,MG/L,1 / 3 MO.,1997-02-28,172.0
21,1 - UNIVERSITY & I-630,Streptococci,#/100ML,1 / 3 MO.,1997-02-28,77.0
22,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1997-02-28,1.0
23,1 - UNIVERSITY & I-630,"BOD, C",MG/L,1 / 3 MO.,1997-02-28,12.0
24,2 - 33RD & WHITFIELD,Se,UG/L,1 / 3 MO.,1997-02-28,5.0
25,2 - 33RD & WHITFIELD,Be,UG/L,1 / 3 MO.,1997-02-28,0.5
26,2 - 33RD & WHITFIELD,Ni,UG/L,1 / 3 MO.,1997-02-28,3.3
27,2 - 33RD & WHITFIELD,Cr,UG/L,1 / 3 MO.,1997-02-28,5.0
28,2 - 33RD & WHITFIELD,Hg,UG/L,1 / 3 MO.,1997-02-28,0.2
29,2 - 33RD & WHITFIELD,Cyanide,UG/L,1 / 3 MO.,1997-02-28,10.0
30,2 - 33RD & WHITFIELD,BOD,MG/L,1 / 3 MO.,1997-02-28,4.0
31,2 - 33RD & WHITFIELD,pH,SU,1 / 3 MO.,1997-02-28,7.41
