,Location,Parameter,Unit,Frequency,Date,Value
0,1 - UNIVERSITY & I-630,Se,UG/L,1 / 3 MO.,1997-02-28,0.25
1,1 - UNIVERSITY & I-630,Be,UG/L,1 / 3 MO.,1997-02-28,0.5
2,1 - UNIVERSITY & I-630,Ni,UG/L,1 / 3 MO.,1997-02-28,0.0062660849732347704
3,1 - UNIVERSITY & I-630,Cr,UG/L,1 / 3 MO.,1997-02-28,0.012496260583990561
4,1 - UNIVERSITY & I-630,Hg,UG/L,1 / 3 MO.,1997-02-28,0.09803921568627451
5,1 - UNIVERSITY & I-630,Cyanide,UG/L,1 / 3 MO.,1997-02-28,1.0241502683363148
6,1 - UNIVERSITY & I-630,BOD,MG/L,1 / 3 MO.,1997-02-28,0.7110689736904483
7,1 - UNIVERSITY & I-630,pH,SU,1 / 3 MO.,1997-02-28,0.8322222222222222
8,1 - UNIVERSITY & I-630,TSS,MG/L,1 / 3 MO.,1997-02-28,0.11928429423459255
9,1 - UNIVERSITY & I-630,Oil,MG/L,1 / 3 MO.,1997-02-28,0.2886666666666667
10,1 - UNIVERSITY & I-630,N,MG/L,1 / 3 MO.,1997-02-28,2.028985507246377
11,1 - UNIVERSITY & I-630,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,0.1835273052820053
12,1 - UNIVERSITY & I-630,P,MG/L,1 / 3 MO.,1997-02-28,4.0
13,1 - UNIVERSITY & I-630,CaCO3,MG/L,1 / 3 MO.,1997-02-28,0.8095238095238095
14,1 - UNIVERSITY & I-630,Ag,UG/L,1 / 3 MO.,1997-02-28,0.562685555191232
15,1 - UNIVERSITY & I-630,Zn,UG/L,1 / 3 MO.,1997-02-28,0.11751169903029207
16,1 - UNIVERSITY & I-630,Cd,UG/L,1 / 3 MO.,1997-02-28,0.09097544267822734
17,1 - UNIVERSITY & I-630,Pb,UG/L,1 / 3 MO.,1997-02-28,0.41218963996880337
18,1 - UNIVERSITY & I-630,Cu,UG/L,1 / 3 MO.,1997-02-28,0.7150169775974181
19,1 - UNIVERSITY & I-630,Flow,MGD,1 / 3 MO.,1997-02-28,0.14852710619688092
20,1 - UNIVERSITY & I-630,TDS,MG/L,1 / 3 MO.,1997-02-28,1.6699029126213591
21,1 - UNIVERSITY & I-630,Streptococci,#/100ML,1 / 3 MO.,1997-02-28,0.1925
22,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1997-02-28,0.0024390243902439024
23,1 - UNIVERSITY & I-630,"BOD, C",MG/L,1 / 3 MO.,1997-02-28,0.6
24,2 - 33RD & WHITFIELD,Se,UG/L,1 / 3 MO.,1997-02-28,0.25
25,2 - 33RD & WHITFIELD,Be,UG/L,1 / 3 MO.,1997-02-28,0.5
26,2 - 33RD & WHITFIELD,Ni,UG/L,1 / 3 MO.,1997-02-28,0.004669515503992698
27,2 - 33RD & WHITFIELD,Cr,UG/L,1 / 3 MO.,1997-02-28,0.0178491331966075
28,2 - 33RD & WHITFIELD,Hg,UG/L,1 / 3 MO.,1997-02-28,0.09803921568627451
29,2 - 33RD & WHITFIELD,Cyanide,UG/L,1 / 3 MO.,1997-02-28,0.4472271914132379
30,2 - 33RD & WHITFIELD,BOD,MG/L,1 / 3 MO.,1997-02-28,0.18961839298411953
31,2 - 33RD & WHITFIELD,pH,SU,1 / 3 MO.,1997-02-28,0.8233333333333334
32,2 - 33RD & WHITFIELD,TSS,MG/L,1 / 3 MO.,1997-02-28,0.004970178926441356
33,2 - 33RD & WHITFIELD,Oil,MG/L,1 / 3 MO.,1997-02-28,0.3013333333333333
34,2 - 33RD & WHITFIELD,N,MG/L,1 / 3 MO.,1997-02-28,1.6231884057971018
35,2 - 33RD & WHITFIELD,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,0.1313040883318412
36,2 - 33RD & WHITFIELD,P,MG/L,1 / 3 MO.,1997-02-28,2.0
37,2 - 33RD & WHITFIELD,CaCO3,MG/L,1 / 3 MO.,1997-02-28,0.5238095238095238
38,2 - 33RD & WHITFIELD,Ag,UG/L,1 / 3 MO.,1997-02-28,1.1897137823474806
39,2 - 33RD & WHITFIELD,Zn,UG/L,1 / 3 MO.,1997-02-28,0.4029253169533729
40,2 - 33RD & WHITFIELD,Cd,UG/L,1 / 3 MO.,1997-02-28,0.14983738676038943
41,2 - 33RD & WHITFIELD,Pb,UG/L,1 / 3 MO.,1997-02-28,0.04054333552234304
42,2 - 33RD & WHITFIELD,Cu,UG/L,1 / 3 MO.,1997-02-28,0.35536854157532904
43,2 - 33RD & WHITFIELD,Flow,MGD,1 / 3 MO.,1997-02-28,0.002269164122452348
44,2 - 33RD & WHITFIELD,TDS,MG/L,1 / 3 MO.,1997-02-28,0.9320388349514563
45,2 - 33RD & WHITFIELD,Streptococci,#/100ML,1 / 3 MO.,1997-02-28,0.81
46,2 - 33RD & WHITFIELD,E.Coli,#/100ML,1 / 3 MO.,1997-02-28,1.0658536585365854
47,2 - 33RD & WHITFIELD,"BOD, C",MG/L,1 / 3 MO.,1997-02-28,0.15
48,3 - CHENAL PKWY & OAK MEADOW,Se,UG/L,1 / 3 MO.,1997-02-28,0.25
49,3 - CHENAL PKWY & OAK MEADOW,Be,UG/L,1 / 3 MO.,1997-02-28,0.5
50,3 - CHENAL PKWY & OAK MEADOW,Ni,UG/L,1 / 3 MO.,1997-02-28,0.006727771205756174
51,3 - CHENAL PKWY & OAK MEADOW,Cr,UG/L,1 / 3 MO.,1997-02-28,0.020126214956577168
52,3 - CHENAL PKWY & OAK MEADOW,Hg,UG/L,1 / 3 MO.,1997-02-28,0.09803921568627451
53,3 - CHENAL PKWY & OAK MEADOW,Cyanide,UG/L,1 / 3 MO.,1997-02-28,0.4472271914132379
54,3 - CHENAL PKWY & OAK MEADOW,BOD,MG/L,1 / 3 MO.,1997-02-28,0.14221379473808965
55,3 - CHENAL PKWY & OAK MEADOW,pH,SU,1 / 3 MO.,1997-02-28,0.7033333333333334
56,3 - CHENAL PKWY & OAK MEADOW,TSS,MG/L,1 / 3 MO.,1997-02-28,0.0347912524850895
57,3 - CHENAL PKWY & OAK MEADOW,Oil,MG/L,1 / 3 MO.,1997-02-28,0.31933333333333336
58,3 - CHENAL PKWY & OAK MEADOW,N,MG/L,1 / 3 MO.,1997-02-28,1.6231884057971018
59,3 - CHENAL PKWY & OAK MEADOW,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,0.15219337511190686
60,3 - CHENAL PKWY & OAK MEADOW,P,MG/L,1 / 3 MO.,1997-02-28,1.7999999999999998
61,3 - CHENAL PKWY & OAK MEADOW,CaCO3,MG/L,1 / 3 MO.,1997-02-28,0.4523809523809524
62,3 - CHENAL PKWY & OAK MEADOW,Ag,UG/L,1 / 3 MO.,1997-02-28,1.5309228672432091
63,3 - CHENAL PKWY & OAK MEADOW,Zn,UG/L,1 / 3 MO.,1997-02-28,0.41654586371893987
64,3 - CHENAL PKWY & OAK MEADOW,Cd,UG/L,1 / 3 MO.,1997-02-28,0.1798530433204055
65,3 - CHENAL PKWY & OAK MEADOW,Pb,UG/L,1 / 3 MO.,1997-02-28,0.04503956126628454
66,3 - CHENAL PKWY & OAK MEADOW,Cu,UG/L,1 / 3 MO.,1997-02-28,0.226670750157238
67,3 - CHENAL PKWY & OAK MEADOW,Flow,MGD,1 / 3 MO.,1997-02-28,0.0035068900074263555
68,3 - CHENAL PKWY & OAK MEADOW,TDS,MG/L,1 / 3 MO.,1997-02-28,0.970873786407767
