Sample Location, Date,	Event duration (hrs),	Rainfall (in),	Days Since Most Recent,	Volume (gal),
1,	4/25/2018,	10,	0.57,	4,	14400
2,	4/25/2018,	10,	0.57,	4,	12342
3,	4/25/2018,	10,	0.57,	4,	6163
5,	4/25/2018,	10,	0.57,	4,	3744
6,	4/25/2018,	10,	0.57,	4,	8640
1,	6/8/2018,	0.75,	0.13,	7,	2880
2,	6/8/2018,	0.75,	0.13,	7,	7200
3,	6/8/2018,	0.75,	0.13,	7,	3600
5,	7/18/2018,	2,	1.25,	1,	144
6,	8/9/2018,	4.5,	1.4,	4,	6384
1,	10/15/2018,	2,	1.64,	2,	5166720
2,	10/15/2018,	2,	1.64,	2,	4636800
3,	10/15/2018,	2,	1.64,	2,	4636800
5,	10/15/2018,	2,	1.64,	2,	3137760
6,	10/15/2018,	2,	1.64,	2,	1738080
1,	2/7/2019,	4,	0.78,	11,	586080
2,	2/7/2019,	4,	0.78,	11,	40320
3,	2/7/2019,	4,	0.78,	11,	1520
5,	2/7/2019,	4,	0.78,	11,	14400
6,	2/7/2019,	4,	0.78,	11,	21600
